2025-04-23 16:26:39.400755 ; AssemblyData   ; Debug       ; Loaded OpenTap. [528 us]
2025-04-23 16:26:39.421699 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-04-23 16:26:39.421699 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-04-23 16:26:39.422697 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.26.1+3d268116 X64
2025-04-23 16:26:39.430675 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [8.78 ms]
2025-04-23 16:26:39.440648 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [12.7 ms]
2025-04-23 16:26:39.400755 ; AssemblyData   ; Debug       ; Loaded OpenTap. [528 us]
2025-04-23 16:26:39.421699 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-04-23 16:26:39.421699 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-04-23 16:26:39.422697 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.26.1+3d268116 X64
2025-04-23 16:26:39.430675 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [8.78 ms]
2025-04-23 16:26:39.440648 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [12.7 ms]
2025-04-23 16:26:38.971260 ; Session        ; Debug       ; Session log loaded as 'C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\tap 2025-04-23 16-26-38.txt'. [2.24 ms]
2025-04-23 16:26:39.010157 ; Session        ; Debug       ; Running '"C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\tap.exe" tui' in 'C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release'.
2025-04-23 16:26:39.051047 ; AssemblyFinder ; Debug       ; Found 17/38 assembly files. [11.8 ms]
