2025-05-29 19:37:16.306630 ; Session        ; Debug       ; Session log loaded as 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\tap 2025-05-29 19-37-16.txt'. [1.19 ms]
2025-05-29 19:37:16.328017 ; Session        ; Debug       ; Deleting log file: C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\SessionLog 2025-05-29 18-30-05.txt
2025-05-29 19:37:16.333473 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\\package.xml" --install' in 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release'.
2025-05-29 19:37:16.361855 ; AssemblyFinder ; Debug       ; Found 18/39 assembly files. [8.14 ms]
2025-05-29 19:37:16.380913 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-05-29 19:37:16.481311 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-05-29 19:37:16.560742 ; Searcher       ; Debug       ; Ordered 18 assemblies according to references. [169 ms]
2025-05-29 19:37:16.601122 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2025-05-29 19:37:16.605707 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 184 plugin types. [216 ms]
2025-05-29 19:37:16.606707 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.dll
2025-05-29 19:37:16.606707 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-05-29 19:37:16.606707 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Package.dll
2025-05-29 19:37:16.606707 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-05-29 19:37:16.606707 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Plugins.BasicSteps.dll
2025-05-29 19:37:16.606707 ; PluginManager  ; Debug       ; Searched 18 Assemblies. [218 ms]
2025-05-29 19:37:16.613990 ; AssemblyData   ; Debug       ; Loaded OpenTap. [311 us]
2025-05-29 19:37:16.622635 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-05-29 19:37:16.622635 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9300.0
2025-05-29 19:37:16.622635 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.1+49587562 X64
2025-05-29 19:37:16.626141 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.70 ms]
2025-05-29 19:37:16.633266 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [5.64 ms]
2025-05-29 19:37:16.652595 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [4.09 ms]
